PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,PC_11,PC_12,PC_13,PC_14,PC_15,PC_16,PC_17,PC_18,PC_19,PC_20,PC_21,PC_22,PC_23,PC_24,PC_25,PC_26,PC_27,PC_28,PC_29,PC_30,PC_31,PC_32,PC_33,PC_34,PC_35,PC_36,PC_37,PC_38,PC_39,PC_40,PC_41,PC_42,PC_43,PC_44,PC_45,PC_46,PC_47,PC_48,PC_49,PC_50,Label
-0.7186128038243185,0.2654703913934176,0.1722042463520936,0.25600788576047945,-0.2914303276068857,0.32884146693176736,-0.22859513844376841,-0.27951252685624384,-0.5418121109820605,-0.36345077397750214,1.8749567019040185,0.06295385664595542,-0.034488137206403584,0.4790349221744207,-0.5074482687124894,0.273766597845543,-0.4349080885888357,0.2093208024606042,0.1317933561028468,-0.01224499913627249,-0.11400673315825856,-0.018177026713981238,-0.07176468838558238,-0.013817656432301857,-0.015220208306089559,-0.11778224523974104,0.35112698921508695,0.18851954241056434,-0.3103887967102752,0.48221198395164283,0.4762564344449358,0.12276886978780738,0.29444224743255437,0.3254530060400202,-0.00959396093452635,-0.005446899799345805,0.01037969113540497,0.2843776440865435,-0.002075637428845974,-0.023667334875259263,0.09208985250779009,-0.02961525867295017,0.09023669061188375,0.14843207999515481,0.0653170770788426,0.16033905198401718,-0.07909037878666166,0.0751083564528407,-0.04944826487589322,0.0639231928498713,1
-0.8573520657813123,-0.3508682838109227,0.020851090633070748,-0.2585608090691671,-0.21761424833191836,-0.6361887670744144,-0.3492193463271138,0.09760462993585946,-0.12734193323951729,-0.2511852024592293,-0.31911281818401555,-0.046307652862831956,0.08346397869146466,-0.12993371804620327,0.13665535488647196,-0.0753490052611894,0.05280432613786496,-0.09835424870963964,0.03250576521406349,0.14254940829794266,-0.001343368446278936,-0.034423711223998794,-0.0038951682319401937,-0.04399197793174604,-0.06267512944670788,-0.04380978670138148,-0.4646865476212033,-0.21222858271840717,0.19138668391265384,-0.3256951337054362,-0.23054563558813498,0.22540889681610674,-0.1871973437936574,-0.10111177904152413,0.04853906421212223,0.0733895182720847,0.09282616310188255,0.06843850594821495,-0.010090087593413847,0.03605211347732485,-0.008022111771419156,0.029178427644992466,-0.021468496938090987,0.07022555601907626,0.019181931660841704,0.09886598929088415,-0.06626259327860949,0.04008461356416611,-0.02012736958700941,-0.009215167035296304,1
-0.4169236389919957,2.5028697627565184,2.8701696984376883,-1.6504261707310122,-0.11997433055605997,-1.5395878976180566,2.318961003595938,-2.689783085398991,-0.39662050405282634,3.788611084963728,0.11920071685396783,0.15557787166643927,-0.8270640846341931,-1.2409692440743827,0.2754040906678116,-0.04073121753947588,0.5078448093416233,0.07652140415585895,-0.5080082338362321,-0.43068004140794974,0.043249640282752376,0.32823120888898577,0.10240919313164629,0.66706292632452,0.10469142901516712,0.1257876590514953,-0.9118764754759244,1.605636860090856,0.34467223426167715,0.02652379197118469,-0.8085486594877139,-1.9352721942603506,-0.1450960328863905,-1.8750067563201027,-1.2156193304170881,-2.108556108423414,-1.2130496262962167,2.1181319437399497,1.5040611336244178,-3.8305993359280004,1.0749246257885356,-0.056049681587469,-0.06183244253595717,5.354848286103828,-1.772562454452159,0.4306213341288526,1.3283117520825145,3.997692824977472,-0.2711558357285421,2.8417350139574253,1
-0.6849709663308732,0.0863642735719812,0.11251854255713106,0.0865503865648281,-0.3581229085209754,-0.2318132864708119,-0.3765948892839701,-0.1369045918783639,-0.7365197700232017,-0.739611103686511,1.116795236171345,-0.009721358024592685,-0.06946542980212544,0.6201570591869136,-0.40976483699495353,0.2643263653455628,-0.5249927720604336,0.09574171897446987,-0.03216849410646186,0.08553284484979108,-0.13385820923297032,-0.09243054672487502,-0.04489619064603536,-0.12652288849095414,0.01800037137511673,-0.13417505592725182,0.15253195690800636,0.01980351941807912,-0.06361945824524616,-0.11927017378112423,-0.2596781047013163,0.17159227530886054,-0.1142962804947116,-0.652388602033848,0.20251938519853008,0.212877993011205,0.30952983453865657,0.9458585227229956,-0.3454349445403877,-0.0022955813028951943,0.2060331432819342,0.13267622926787895,0.0650581868361779,0.14508148379739477,0.15259161435666463,0.358114588148352,-0.1968813644548418,0.08759794477862562,-0.10847176642188755,-0.06655768698699632,1
-0.8567565900595668,-0.18263852207093675,0.0577581165304562,-0.12511328942355382,-0.19343528069263116,-0.2604000032176956,-0.2703291821739047,-0.017856997157045758,-0.10060583318191527,-0.10007671029398642,0.34260002312766474,0.003871548439950122,0.08299354509603046,-0.1049560660007938,-0.002814253905988703,-0.019005103609482037,0.02406751808195836,-0.004686755459337392,0.12183849703122802,0.07881305853976348,-0.012503866173338728,0.00135077223709565,-0.025968226241661806,0.012137654648067958,-0.07021165128566816,-0.047441806880020254,-0.26039982996857064,-0.0816647641567417,0.01089994944361929,0.06246024211705395,0.20368933613482135,0.1962109350383631,0.07641872278819183,0.38494225752464617,-0.05737513513079565,-0.035310025388508234,-0.05175428802082597,-0.18857585156490753,0.1432237702022741,0.02715357747643621,-0.022684849311790222,-0.04450552813015637,0.012442728984133658,0.09044848506230119,-0.01155324141645294,0.02103418583826539,-0.024100354200584997,0.027177090683232458,-0.03219628786701206,0.06097502436821029,1
-1.331168778412432,0.022080070794205493,0.6270059851019165,-0.30993006173661986,0.1325150378797065,0.41254236571553304,1.0570308445525867,-0.4563820774554363,0.9567728982385184,1.6119287677593281,-0.7126287421860977,-0.09381102715537525,-0.9608004098820357,0.20809530327926082,0.1417228740462743,0.38297321435126874,-0.0795606230568124,-0.1552055200674743,0.027642964435993036,0.03943251632177227,0.13933963932629992,0.05583274005393627,-0.012050473964376545,-0.06629100246209929,0.0453225814530837,-0.03836941729926418,-0.17275649338242008,0.2589071746924111,0.012821285453605658,0.09308437937971109,0.2238517659132738,-0.33876769039896176,-0.054067450777331355,-0.24310672468826405,0.0652805875568252,0.17304298680082825,0.17192045591152286,0.6709506162196126,-0.3892196866911853,-0.05957997207564277,0.07884747304127734,0.062228046471005084,0.035557497088792134,-0.3415777539946191,0.1744001538773326,-0.049540821201171904,0.0550056937119812,-0.128147597292183,-0.12828632442422389,-0.18095360924739,1
-0.8850701980681084,-0.2620041365915448,0.03752498145441489,-0.1926575854802089,-0.17150078620267628,-0.35201374971191396,-0.27254016103995,0.027028551774765756,-0.00727231357944375,-0.033705369880850655,0.07760320329864767,-0.004481173860627809,0.10720171719578225,-0.22372455333685617,0.0906622682543289,-0.07517404017275253,0.11662651393277056,-0.04149093999798892,0.12673143419585375,0.0925190090787881,0.007771056369204187,0.008191342758787893,-0.018225393443941727,0.021856276058677584,-0.08219355755083957,-0.03317362587421729,-0.37064656679934915,-0.12712629298654132,0.06301895251149157,0.0061021511603811225,0.18135748006676825,0.2087617635304029,0.05157401789459531,0.4360450337276126,-0.07546321051907307,-0.05004706156492593,-0.07601987567978466,-0.3069041604164291,0.18538168192624413,0.03654253687780771,-0.04854638107669171,-0.05371075891581428,-0.0012652735929284855,0.07971830472198621,-0.02993500188414391,-0.013963263108195989,-0.009027158957074873,0.01680965070901593,-0.028040670188627353,0.06582857229639348,1
-0.6313885639481088,0.4382557211466946,0.2143725549042217,0.40107847089511245,-0.3696458739841207,0.4396741813322699,-0.25969288284884146,-0.36699606442903426,-0.8485549725940821,-0.6423548314917136,2.409570592988614,0.06705967955743285,-0.11023098517272413,0.8421369008014883,-0.7393842430783408,0.42573864724591315,-0.7130161077146575,0.2818046525091427,0.07609430304887171,-0.025298067821247383,-0.17434582074572,-0.05605419514457157,-0.08616498986905893,-0.06963505055553905,0.026203668942845898,-0.16122033101295366,0.6041640577390386,0.27090254869939034,-0.3910538168295008,0.48301065579347274,0.3488685910229136,0.09959692550329688,0.25651102352874594,-0.06366870033962407,0.09491018479394715,0.09097488369905468,0.15361082133657236,0.7783717604578809,-0.20584326295930652,-0.04543545734427847,0.18919409571831466,0.03617302156691223,0.12055507963896378,0.17600395017186496,0.13802555080271361,0.3070687723624196,-0.14944990762622803,0.10870337003841318,-0.07087519991806,0.0169633476462463,1
-0.6579721501783464,0.5257393342699307,0.2257683870090479,0.45902996922303063,-0.3251252355702679,0.7053669479850551,-0.1896110133521337,-0.43453550293898946,-0.7408460163545196,-0.44173641083513765,2.7997966144167292,0.10774073597829897,-0.08877723193028933,0.760367759251073,-0.7889784110842331,0.42972143441916044,-0.6573104946239559,0.33656890864344735,0.1652539985309863,-0.07202395229941885,-0.1686064641378887,-0.016226578916281594,-0.10018352709934784,-0.007573061891926083,0.008702005159705106,-0.1521126179730494,0.6975054519731757,0.3521463678997753,-0.5135603441725581,0.7993743311704754,0.7390195117180457,0.08670632527838393,0.48770896664892943,0.4330167566122808,-0.02201117294595822,-0.02421603514479105,-0.003425937697942533,0.43513842741492176,-0.02485421177250734,-0.041188100910201024,0.16255840624354861,-0.037901901609006895,0.14331703140620813,0.1889495846617866,0.09356027263879649,0.20360496723855034,-0.10041846843979275,0.0816402693665629,-0.0943717536410344,0.08789608801461818,1
1.9553595163675923,7.381313159471346,-0.8388113861419031,-1.0234017947798215,1.4743484381609726,2.43130578322224,0.7287880511843586,-0.8288031894559345,-1.3026300323823234,-1.811864203495418,2.3172010560434395,-0.007588420550799331,0.18270081219074435,0.28360287240430165,0.0328808377287245,-0.20482267066280932,0.04090025512687483,0.17941928717655004,0.5533000022881512,0.24487204021909123,-0.15039646740995652,-0.18322757000066545,-0.06990981097892408,-0.21103735305029522,-0.26885483755551587,0.06840004013347428,0.3075668352818048,-0.6093634155020927,-0.16240457930174695,0.3019080317506464,0.25435931051025645,0.1217095189733471,0.27216337445492206,-0.3238224001460052,0.5837198535150429,0.06477061658636431,0.22585585016188783,0.5898297548703652,-0.5001569020381385,0.7844932902212366,0.0763515352918471,0.32100022455871796,-0.0902456035184239,0.11142730905836183,0.12252442627013507,0.14214892809772214,-0.547415338674133,-1.076844617381477,0.0726117797845655,0.06311869416170864,1
